127.0.0.1 - - [26/Sep/2023:16:56:24 +0900] "GET / HTTP/1.1" 200 14055
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:36 +0900] "GET /WEB-INF/views/header.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:36 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET / HTTP/1.1" 200 14055
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/css/font-awesome.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/css/nice-select.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/css/elegant-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/css/owl.carousel.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/css/jquery-ui.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/css/slicknav.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/js/jquery-3.3.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/js/jquery.nice-select.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/js/jquery-ui.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/js/jquery.slicknav.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/js/mixitup.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/js/owl.carousel.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /resources/js/main.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /css/font-awesome.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /css/elegant-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /css/nice-select.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /css/jquery-ui.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /css/owl.carousel.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /css/slicknav.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2023:16:56:40 +0900] "GET /js/jquery-3.3.1.min.js HTTP/1.1" 404 721
